age,qx
0,0.00051
1,0.00030
2,0.00021
3,0.00016
4,0.00013
5,0.00011
6,0.00010
7,0.00009
8,0.00008
9,0.00007
10,0.00007
11,0.00008
12,0.00010
13,0.00013
14,0.00017
15,0.00021
16,0.00025
17,0.00029
18,0.00032
19,0.00034
20,0.00035
21,0.00035
22,0.00034
23,0.00033
24,0.00032
25,0.00031
26,0.00030
27,0.00030
28,0.00030
29,0.00031
30,0.00032
31,0.00033
32,0.00035
33,0.00037
34,0.00040
35,0.00044
36,0.00048
37,0.00053
38,0.00059
39,0.00066
40,0.00074
41,0.00084
42,0.00095
43,0.00108
44,0.00122
45,0.00138
46,0.00156
47,0.00176
48,0.00198
49,0.00223
50,0.00251
51,0.00282
52,0.00317
53,0.00356
54,0.00399
55,0.00448
56,0.00502
57,0.00562
58,0.00629
59,0.00703
60,0.00785
61,0.00876
62,0.00976
63,0.01087
64,0.01209
65,0.01344
66,0.01492
67,0.01655
68,0.01834
69,0.02030
70,0.02245
71,0.02480
72,0.02737
73,0.03017
74,0.03322
75,0.03654
76,0.04014
77,0.04404
78,0.04826
79,0.05282
80,0.05774
81,0.06303
82,0.06872
83,0.07482
84,0.08134
85,0.08830
86,0.09571
87,0.10358
88,0.11192
89,0.12073
90,0.13002
91,0.13979
92,0.15004
93,0.16077
94,0.17198
95,0.18366
96,0.19580
97,0.20839
98,0.22142
99,0.23487
100,0.24872
101,0.26296
102,0.27756
103,0.29250
104,0.30777
105,0.32333
106,0.33917
107,0.35527
108,0.37159
109,0.38812
110,0.40483
111,0.42169
112,0.43868
113,0.45577
114,0.47293
115,0.49015
116,0.50739
117,0.52464
118,0.54187
119,0.55906
120,1.00000
