age,qx
0,0.00057
1,0.00036
2,0.00026
3,0.00019
4,0.00015
5,0.00013
6,0.00012
7,0.00011
8,0.00010
9,0.00009
10,0.00009
11,0.00010
12,0.00012
13,0.00016
14,0.00021
15,0.00027
16,0.00033
17,0.00039
18,0.00044
19,0.00048
20,0.00050
21,0.00050
22,0.00049
23,0.00048
24,0.00046
25,0.00045
26,0.00044
27,0.00043
28,0.00043
29,0.00043
30,0.00044
31,0.00045
32,0.00047
33,0.00050
34,0.00053
35,0.00057
36,0.00062
37,0.00068
38,0.00075
39,0.00083
40,0.00093
41,0.00104
42,0.00118
43,0.00134
44,0.00152
45,0.00173
46,0.00197
47,0.00224
48,0.00255
49,0.00290
50,0.00331
51,0.00377
52,0.00429
53,0.00488
54,0.00555
55,0.00631
56,0.00717
57,0.00814
58,0.00924
59,0.01048
60,0.01187
61,0.01344
62,0.01520
63,0.01717
64,0.01938
65,0.02185
66,0.02459
67,0.02764
68,0.03102
69,0.03477
70,0.03891
71,0.04348
72,0.04852
73,0.05406
74,0.06014
75,0.06680
76,0.07408
77,0.08202
78,0.09065
79,0.10002
80,0.11015
81,0.12108
82,0.13285
83,0.14549
84,0.15902
85,0.17347
86,0.18885
87,0.20517
88,0.22243
89,0.24063
90,0.25975
91,0.27978
92,0.30069
93,0.32245
94,0.34502
95,0.36836
96,0.39240
97,0.41709
98,0.44236
99,0.46813
100,0.49432
101,0.52085
102,0.54762
103,0.57453
104,0.60147
105,0.62834
106,0.65501
107,0.68138
108,0.70732
109,0.73272
110,0.75746
111,0.78142
112,0.80450
113,0.82660
114,0.84763
115,0.86752
116,0.88620
117,0.90362
118,0.91974
119,0.93454
120,1.00000
